domain,problem,heuristic,recursionLevel,totalTimeM,planLengthM,expandedStatesM
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,FF, 0,   1434.7,        48.8,   11231.0
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,PPsaFF-glcl,-1,   1505.9,        33.4,    5894.2
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,PPsaFF-sync,-1,   1593.6,        44.4,    1736.5
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,FF, 0,   1607.7,        61.2,   10844.0
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,PPsaFF-glcl,-1,   1757.4,        51.8,    7042.9
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,PPsaFF-sync,-1,   1810.2,        53.3,    1446.0
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,FF, 0,   1600.3,        47.3,    5046.2
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,PPsaFF-glcl,-1,   1725.6,        43.8,    3184.9
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,PPsaFF-sync,-1,   4012.3,        98.7,   29454.4
benchmarks/elevators08,benchmarks/elevators08/p06.pddl,FF, 0,   1802.2,        63.9,    3622.1
benchmarks/elevators08,benchmarks/elevators08/p06.pddl,PPsaFF-glcl,-1,   2031.2,        58.8,    4060.5
benchmarks/elevators08,benchmarks/elevators08/p06.pddl,PPsaFF-sync,-1,   2289.0,        71.5,    1739.0
benchmarks/elevators08,benchmarks/elevators08/p07.pddl,FF, 0,   3314.2,        88.1,   97889.8
benchmarks/elevators08,benchmarks/elevators08/p07.pddl,PPsaFF-glcl,-1,   2638.4,        68.4,   19863.4
benchmarks/elevators08,benchmarks/elevators08/p07.pddl,PPsaFF-sync,-1,   2621.4,        89.0,    2513.3
benchmarks/elevators08,benchmarks/elevators08/p08.pddl,FF, 0,   4261.1,        77.7,  126266.9
benchmarks/elevators08,benchmarks/elevators08/p08.pddl,PPsaFF-glcl,-1,   4055.6,        77.0,   75070.5
benchmarks/elevators08,benchmarks/elevators08/p08.pddl,PPsaFF-sync,-1,   3490.0,       101.7,    8892.7
benchmarks/elevators08,benchmarks/elevators08/p09.pddl,FF, 0,   2590.3,        66.9,   12523.0
benchmarks/elevators08,benchmarks/elevators08/p09.pddl,PPsaFF-glcl,-1,   3058.2,        69.4,   18338.6
benchmarks/elevators08,benchmarks/elevators08/p09.pddl,PPsaFF-sync,-1,   3278.6,        96.7,    3834.0
