domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/rovers,benchmarks/rovers/p05.pddl,PPsaFF-glcl,-1,    482.3, 24.5,    393.7,   178.2,    215.8,     24.2,    173.4,    173.6,    371.2,   7.50,    9.9,   109.4,    166.7,    2.7,rovers,rovers/p05.pddl,0.55,0.452629,0.825765,    1.21, 0.772, 0.614, 0.629,  0.81, 7.0,black
benchmarks/rovers,benchmarks/rovers/p06.pddl,PPsaFF-glcl,-1,    580.2, 40.9,    585.5,   295.8,    289.8,     34.7,    242.9,    242.9,    520.5,  12.10,   10.5,   195.0,    253.5,    4.2,rovers,rovers/p06.pddl,0.49,0.505209,1.020704,    0.98, 0.875, 0.659, 0.673,  0.77, 7.0,black
benchmarks/rovers,benchmarks/rovers/p07.pddl,PPsaFF-glcl,-1,    521.5, 26.9,   1050.3,   316.8,    734.0,    137.1,    491.1,    491.2,   1119.4,   8.80,   31.4,   143.8,    353.0,    9.7,rovers,rovers/p07.pddl,0.70,0.301628,0.431608,    2.32, 0.481, 0.454, 0.485,  1.01, 7.0,black
benchmarks/rovers,benchmarks/rovers/p08.pddl,PPsaFF-glcl,-1,    901.0, 37.5,   1094.5,   222.7,    872.0,    144.7,    661.7,    661.8,   1468.2,   5.90,   40.3,   162.6,    644.2,   10.1,rovers,rovers/p08.pddl,0.80,0.203472,0.255390,    3.92, 0.739, 0.730, 0.775,  1.05, 7.0,black
benchmarks/rovers,benchmarks/rovers/p09.pddl,PPsaFF-glcl,-1,   1060.2, 38.8,   2894.2,   693.2,   2201.6,    175.6,   1345.4,   1345.2,   2866.2,  20.20,   72.9,   226.8,    735.4,   16.4,rovers,rovers/p09.pddl,0.76,0.239514,0.314862,    3.18, 0.334, 0.327, 0.351,  1.05, 7.0,black
benchmarks/rovers,benchmarks/rovers/p10.pddl,PPsaFF-glcl,-1,    607.4, 45.3,   1373.1,   290.7,   1082.0,    168.6,    659.5,    659.8,   1487.9,   6.90,   47.7,   119.5,    427.9,    9.4,rovers,rovers/p10.pddl,0.79,0.211711,0.268669,    3.72, 0.395, 0.411, 0.443,  1.12, 7.0,black
benchmarks/rovers,benchmarks/rovers/p11.pddl,PPsaFF-glcl,-1,    407.2, 43.0,   1711.5,   357.3,   1354.4,    112.4,    722.2,    721.9,   1556.5,   8.80,   66.9,   120.0,    393.0,   16.6,rovers,rovers/p11.pddl,0.79,0.208764,0.263807,    3.79, 0.290, 0.336, 0.382,  1.32, 7.0,black
benchmarks/rovers,benchmarks/rovers/p12.pddl,PPsaFF-glcl,-1,    381.7, 29.7,    565.8,    66.8,    499.2,     49.7,    138.4,    135.8,    323.9,   2.70,   29.0,    85.1,    468.8,    7.9,rovers,rovers/p12.pddl,0.88,0.118063,0.133814,    7.47, 0.939, 1.274, 1.392,  1.48, 7.0,black
benchmarks/rovers,benchmarks/rovers/p13.pddl,PPsaFF-glcl,-1,   1231.3, 55.6,   4655.0,  1045.8,   3611.5,    444.0,   2597.8,   2597.9,   5639.7,  17.80,   78.1,   226.7,    535.6,   17.9,rovers,rovers/p13.pddl,0.78,0.224662,0.289575,    3.45, 0.148, 0.217, 0.234,  1.58, 7.0,black
benchmarks/rovers,benchmarks/rovers/p14.pddl,PPsaFF-glcl,-1,    664.0, 41.0,   5328.2,  1105.8,   4223.5,    177.4,   1606.2,   1605.4,   3389.0,  20.60,   94.3,   207.1,    548.0,   25.9,rovers,rovers/p14.pddl,0.79,0.207537,0.261821,    3.82, 0.130, 0.187, 0.211,  1.62, 7.0,black
